"x","y","year","season","pres"
1115.21739130435,1241.30434782609,1,"Spring",1
1979.03225806452,566.129032258065,1,"Spring",1
814,802,1,"Spring",1
1514.51612903226,333.870967741935,1,"Spring",1
1747.01492537313,444.029850746269,2,"Autumn",1
960.204081632653,1029.59183673469,2,"Autumn",1
961.904761904762,1045.2380952381,3,"Autumn",1
1745.2380952381,448.412698412698,3,"Autumn",1
1155.26315789474,1255.26315789474,4,"Autumn",1
1503.84615384615,288.461538461538,4,"Autumn",1
1890.90909090909,631.818181818182,4,"Autumn",1
842.857142857143,735.714285714286,4,"Autumn",1
1688.46153846154,450,4,"Spring",1
1023.52941176471,1041.17647058824,4,"Spring",1
797.368421052632,818.421052631579,5,"Autumn",1
1150,1255,5,"Autumn",1
1520,310,5,"Autumn",1
1938.88888888889,620.37037037037,5,"Autumn",1
1738.13559322034,444.915254237288,5,"Spring",1
943.333333333333,1038.88888888889,5,"Spring",1
870,730,6,"Spring",1
1131.81818181818,1254.54545454545,6,"Spring",1
1534.375,309.375,6,"Spring",1
1938,606,6,"Spring",1
883.333333333333,683.333333333333,7,"Autumn",1
1410,490,7,"Autumn",1
2075,550,7,"Autumn",1
1738.88888888889,783.333333333333,7,"Autumn",1
1628.57142857143,121.428571428571,7,"Autumn",1
1150,1255,7,"Autumn",1
1484.61538461538,334.615384615385,7,"Spring",1
1969.23076923077,557.692307692308,7,"Spring",1
1166.66666666667,1250,7,"Spring",1
781.578947368421,823.684210526316,7,"Spring",1
951.851851851852,1022.22222222222,8,"Autumn",1
1754.22535211268,450,8,"Autumn",1
2018.75,618.75,8,"Spring",1
1570,676.666666666667,8,"Spring",1
1842.30769230769,150,8,"Spring",1
1120.83333333333,1245.83333333333,8,"Spring",1
830,755,8,"Spring",1
1431.25,281.25,8,"Spring",1
883.333333333333,683.333333333333,9,"Spring",1
1522.41379310345,287.931034482759,9,"Spring",1
1150,1255,9,"Spring",1
1879.16666666667,662.5,9,"Spring",1
834.210526315789,786.842105263158,10,"Autumn",1
1128.26086956522,1245.65217391304,10,"Autumn",1
1508.06451612903,337.096774193548,10,"Autumn",1
1967.24137931034,550,10,"Autumn",1
1628.57142857143,121.428571428571,11,"Autumn",1
1150,1255,11,"Autumn",1
1410,490,11,"Autumn",1
2050,495.454545454545,11,"Autumn",1
857.692307692308,711.538461538462,11,"Autumn",1
1770,790,11,"Autumn",1
1484.61538461538,334.615384615385,11,"Spring",1
1165.78947368421,1228.94736842105,11,"Spring",1
1958,558,11,"Spring",1
